-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.505,  0.346
-183.772, 80.138, 0.567,  0.379
-183.758, 80.117, 0.662,  0.412
-183.740, 80.091, 0.817,  0.445
-183.719, 80.061, 0.961,  0.478
-183.693, 80.026, 1.132,  0.511
-183.665, 79.986, 1.315,  0.544
-183.634, 79.940, 1.501,  0.577
-183.600, 79.889, 1.679,  0.610
-183.564, 79.833, 1.840,  0.643
-183.527, 79.774, 1.974,  0.676
-183.489, 79.712, 2.074,  0.709
-183.451, 79.648, 2.138,  0.742
-183.412, 79.584, 2.170,  0.775
-183.374, 79.520, 2.171,  0.808
-183.337, 79.457, 2.149,  0.841
-183.300, 79.395, 2.113,  0.874
-183.264, 79.335, 2.069,  0.907
-183.229, 79.276, 2.021,  0.940
-183.194, 79.219, 1.969,  0.973
-183.160, 79.164, 1.919,  1.006
-183.127, 79.110, 1.871,  1.039
-183.095, 79.057, 1.829,  1.072
-183.063, 79.006, 1.793,  1.105
-183.032, 78.955, 1.763,  1.138
-183.001, 78.905, 1.740,  1.171
-182.970, 78.855, 1.724,  1.204
-182.940, 78.806, 1.715,  1.237
-182.910, 78.757, 1.711,  1.270
-182.880, 78.707, 1.713,  1.303
-182.850, 78.658, 1.720,  1.336
-182.821, 78.608, 1.730,  1.369
-182.791, 78.557, 1.743,  1.402
-182.762, 78.506, 1.757,  1.435
-182.732, 78.454, 1.771,  1.468
-182.703, 78.402, 1.785,  1.501
-182.674, 78.350, 1.798,  1.534
-182.646, 78.296, 1.809,  1.567
-182.617, 78.243, 1.817,  1.600
-182.589, 78.189, 1.824,  1.633
-182.561, 78.134, 1.829,  1.666
-182.534, 78.080, 1.831,  1.699
-182.507, 78.025, 1.832,  1.732
